"Param","n_reps","Success_Count","Success_rate","CI_Lower","True_param","CI_Upper","alpha","N","Tfull","rho","beta","omega_var"
"omega",500,470,0.94,0.34688580516725,1,1.65311419483275,0.05,50,3,-0.1,1,1
"rho",500,455,0.91,-0.67616898731189,-0.1,0.47616898731189,0.05,50,3,-0.1,1,1
"beta",500,472,0.944,0.58464851019655,1,1.41535148980345,0.05,50,3,0,1,1
"omega",500,472,0.944,0.335651791683888,1,1.66434820831611,0.05,50,3,0,1,1
"rho",500,465,0.93,-0.62378260100891,0,0.62378260100891,0.05,50,3,0,1,1
"beta",500,466,0.932,0.588977100792285,1,1.41102289920771,0.05,50,3,0.1,1,1
"omega",500,452,0.904,0.337026886795899,1,1.6629731132041,0.05,50,3,0.1,1,1
"rho",500,481,0.962,-0.581333700620263,0.1,0.781333700620263,0.05,50,3,0.1,1,1
"beta",500,470,0.94,0.588817134696518,1,1.41118286530348,0.05,50,3,0.2,1,1
"omega",500,466,0.932,0.326506868885605,1,1.6734931311144,0.05,50,3,0.2,1,1
"rho",500,499,0.998,-0.543096297581873,0.2,0.943096297581873,0.05,50,3,0.2,1,1
"beta",500,473,0.946,0.588902680539585,1,1.41109731946041,0.05,50,3,0.3,1,1
"omega",500,465,0.93,0.314871557447222,1,1.68512844255278,0.05,50,3,0.3,1,1
"rho",500,498,0.996,-0.457857164939622,0.3,1.05785716493962,0.05,50,3,0.3,1,1
"beta",500,456,0.912,0.607090602658598,1,1.3929093973414,0.05,50,3,0.4,1,1
"omega",500,457,0.914,0.358893609770018,1,1.64110639022998,0.05,50,3,0.4,1,1
"rho",500,496,0.992,-0.370218963979499,0.4,1.1702189639795,0.05,50,3,0.4,1,1
"beta",500,463,0.926,0.606125776658628,1,1.39387422334137,0.05,50,3,0.5,1,1
"omega",500,454,0.908,0.359385770496608,1,1.64061422950339,0.05,50,3,0.5,1,1
"rho",500,496,0.992,-0.232398390746533,0.5,1.23239839074653,0.05,50,3,0.5,1,1
"beta",500,462,0.925851703406814,0.605761362241325,1,1.39423863775867,0.05,50,3,0.6,1,1
"omega",500,451,0.903807615230461,0.370918300605232,1,1.62908169939477,0.05,50,3,0.6,1,1
"rho",500,472,0.945891783567134,0.0193992227319147,0.6,1.18060077726809,0.05,50,3,0.6,1,1
"beta",500,463,0.926,0.592831254399366,1,1.40716874560063,0.05,50,3,0.7,1,1
"omega",500,466,0.932,0.301190593362837,1,1.69880940663716,0.05,50,3,0.7,1,1
"rho",500,437,0.874,0.272590530014123,0.7,1.12740946998588,0.05,50,3,0.7,1,1
"beta",500,458,0.916,0.587481729006413,1,1.41251827099359,0.05,50,3,0.8,1,1
"omega",500,457,0.914,0.295163422441416,1,1.70483657755858,0.05,50,3,0.8,1,1
"rho",500,400,0.8,0.512139214054055,0.8,1.08786078594594,0.05,50,3,0.8,1,1
"beta",500,466,0.93574297188755,0.565195938807765,1,1.43480406119223,0.05,50,3,0.9,1,1
"omega",500,461,0.92570281124498,0.197543734437866,1,1.80245626556213,0.05,50,3,0.9,1,1
"rho",500,393,0.789156626506024,0.781041061097507,0.9,1.01895893890249,0.05,50,3,0.9,1,1
"beta",500,467,0.935871743486974,0.552918010502306,1,1.44708198949769,0.05,60,3,-0.9,1,1
"omega",500,463,0.927855711422846,0.334950647307372,1,1.66504935269263,0.05,60,3,-0.9,1,1
"rho",500,463,0.927855711422846,-0.965424749427128,-0.9,-0.834575250572872,0.05,60,3,-0.9,1,1
"beta",500,458,0.916,0.573162483252296,1,1.4268375167477,0.05,60,3,-0.8,1,1
"omega",500,464,0.928,0.337383456190673,1,1.66261654380933,0.05,60,3,-0.8,1,1
"rho",500,459,0.918,-0.924677245574239,-0.8,-0.675322754425761,0.05,60,3,-0.8,1,1
"beta",500,471,0.942,0.577698225626913,1,1.42230177437309,0.05,60,3,-0.7,1,1
"omega",500,461,0.922,0.36054163152909,1,1.63945836847091,0.05,60,3,-0.7,1,1
"rho",500,452,0.904,-0.870200642201454,-0.7,-0.529799357798546,0.05,60,3,-0.7,1,1
"beta",500,465,0.93,0.599771110930258,1,1.40022888906974,0.05,60,3,-0.6,1,1
"omega",500,462,0.924,0.394393314474682,1,1.60560668552532,0.05,60,3,-0.6,1,1
"rho",500,456,0.912,-0.835881962023385,-0.6,-0.364118037976614,0.05,60,3,-0.6,1,1
"beta",500,464,0.928,0.600917539702641,1,1.39908246029736,0.05,60,3,-0.5,1,1
