"beta_error","beta_sd_avg","omega_error","omega_sd_avg","rho_error","rho_sd_avg","rho","N","n_reps","beta_free","omega_var","Tfull","beta_estimate_sd","omega_estimate_sd","rho_estimate_sd"
0.0707982653768984,0.266268934243542,0.0436955677959757,0.445091075180805,0.095579117545438,0.365236965334116,-0.1,40,500,1,1,3,0.26677184342907,0.44249816210235,0.336122861903217
0.057503997130095,0.265139919778508,0.076958738229195,0.456846157912666,0.0709524967018702,0.382322834950723,0,40,500,1,1,3,0.254240072069487,0.46438355244174,0.344582259191147
0.0251616102398336,0.260405002066603,0.0716375862836361,0.460159388865234,0.0474307528849075,0.408135004983434,0.1,40,500,1,1,3,0.255916188484338,0.459391757008104,0.329797045212084
0.0632083939064611,0.261398203961017,0.0561922678568158,0.452100174325382,0.0212243585826152,0.423435731063465,0.2,40,500,1,1,3,0.253851183575558,0.429470990873738,0.316427599904563
0.0619364811035347,0.262171406817316,0.0508812221416932,0.457804711979007,-0.00473760362849581,0.439661643730034,0.3,40,500,1,1,3,0.245252976429755,0.436244565274857,0.318183394847649
0.0548723864437802,0.263188463428624,0.0820437530393162,0.468894992618338,-0.037390364885397,0.435360589592298,0.4,40,500,1,1,3,0.251803778048939,0.42955247585518,0.312501302983293
0.0436359102755708,0.260542821726925,0.057639893516127,0.46228131847959,-0.0955407226118998,0.416299047818399,0.5,40,500,1,1,3,0.248420151616729,0.495649849727837,0.30289221579907
0.0693794551123209,0.262765248696001,0.109315854975636,0.485865064350543,-0.136830104241466,0.422413282052453,0.6,40,500,1,1,3,0.256378712179002,0.523824568210075,0.292219514886599
0.0514191150490204,0.259805361940056,0.0757196681173593,0.478815913287997,-0.123046501160985,0.379556350912066,0.7,40,500,1,1,3,0.244115328499972,0.454862727340948,0.253752580413296
0.051695966465319,0.264308356214956,0.0797184207412504,0.4925816680052,-0.146968594637498,0.303304688797253,0.8,40,500,1,1,3,0.255042717815891,0.455383399780704,0.261795385691247
